@HD	VN:1.0	SO:unsorted
@SQ	SN:scaffold1|size17422487	LN:17422487
@SQ	SN:scaffold2|size13143161	LN:13143161
@SQ	SN:scaffold3|size7693005	LN:7693005
@SQ	SN:scaffold4|size9548839	LN:9548839
@SQ	SN:scaffold5|size7249249	LN:7249249
@SQ	SN:scaffold6|size17791287	LN:17791287
@SQ	SN:scaffold7|size10507048	LN:10507048
@SQ	SN:scaffold8|size7574445	LN:7574445
@SQ	SN:scaffold9|size10987319	LN:10987319
@SQ	SN:scaffold10|size18147232	LN:18147232
@SQ	SN:scaffold11|size5998044	LN:5998044
@SQ	SN:scaffold12|size10934117	LN:10934117
@SQ	SN:scaffold13|size11904736	LN:11904736
@SQ	SN:scaffold14|size14333546	LN:14333546
@SQ	SN:scaffold15|size6730812	LN:6730812
@SQ	SN:scaffold16|size9376343	LN:9376343
@SQ	SN:scaffold17|size10153759	LN:10153759
@SQ	SN:scaffold18|size8891182	LN:8891182
@SQ	SN:scaffold19|size10117792	LN:10117792
@SQ	SN:scaffold20|size31653177	LN:31653177
@SQ	SN:scaffold21|size5433800	LN:5433800
@SQ	SN:scaffold22|size5204621	LN:5204621
@SQ	SN:scaffold23|size9096112	LN:9096112
@SQ	SN:scaffold24|size11545823	LN:11545823
@SQ	SN:scaffold25|size12881678	LN:12881678
@SQ	SN:scaffold26|size6323217	LN:6323217
@SQ	SN:scaffold27|size11651428	LN:11651428
@SQ	SN:scaffold28|size14647261	LN:14647261
@SQ	SN:scaffold29|size4850767	LN:4850767
@SQ	SN:scaffold30|size10302362	LN:10302362
@SQ	SN:scaffold31|size8832383	LN:8832383
@SQ	SN:scaffold32|size13264057	LN:13264057
@SQ	SN:scaffold33|size6577350	LN:6577350
@SQ	SN:scaffold34|size8408789	LN:8408789
@SQ	SN:scaffold35|size8057465	LN:8057465
@SQ	SN:scaffold36|size11580254	LN:11580254
@SQ	SN:scaffold37|size5827723	LN:5827723
@SQ	SN:scaffold38|size5811917	LN:5811917
@SQ	SN:scaffold39|size10086304	LN:10086304
@SQ	SN:scaffold40|size7609412	LN:7609412
@SQ	SN:scaffold41|size4669265	LN:4669265
@SQ	SN:scaffold42|size4918844	LN:4918844
@SQ	SN:scaffold43|size17302572	LN:17302572
@SQ	SN:scaffold44|size9012676	LN:9012676
@SQ	SN:scaffold45|size10207283	LN:10207283
@SQ	SN:scaffold46|size8955840	LN:8955840
@SQ	SN:scaffold47|size8678360	LN:8678360
@SQ	SN:scaffold48|size5635283	LN:5635283
@SQ	SN:scaffold49|size8313971	LN:8313971
@SQ	SN:scaffold50|size14621469	LN:14621469
@SQ	SN:scaffold51|size3943228	LN:3943228
@SQ	SN:scaffold52|size3880364	LN:3880364
@SQ	SN:scaffold53|size3871858	LN:3871858
@SQ	SN:scaffold54|size9850380	LN:9850380
@SQ	SN:scaffold55|size5676676	LN:5676676
@SQ	SN:scaffold56|size8636917	LN:8636917
@SQ	SN:scaffold57|size5017983	LN:5017983
@SQ	SN:scaffold58|size7012138	LN:7012138
@SQ	SN:scaffold59|size8734404	LN:8734404
@SQ	SN:scaffold60|size10471463	LN:10471463
@SQ	SN:scaffold61|size7952931	LN:7952931
@SQ	SN:scaffold62|size5049800	LN:5049800
@SQ	SN:scaffold63|size3680005	LN:3680005
@SQ	SN:scaffold64|size5545562	LN:5545562
@SQ	SN:scaffold65|size4134013	LN:4134013
@SQ	SN:scaffold66|size4273557	LN:4273557
@SQ	SN:scaffold67|size4776424	LN:4776424
@SQ	SN:scaffold68|size5270045	LN:5270045
@SQ	SN:scaffold69|size3581957	LN:3581957
@SQ	SN:scaffold70|size8898898	LN:8898898
@SQ	SN:scaffold71|size10394515	LN:10394515
@SQ	SN:scaffold72|size10307924	LN:10307924
@SQ	SN:scaffold73|size3553111	LN:3553111
@SQ	SN:scaffold74|size7559843	LN:7559843
@SQ	SN:scaffold75|size3509442	LN:3509442
@SQ	SN:scaffold76|size3477928	LN:3477928
@SQ	SN:scaffold77|size6313398	LN:6313398
